epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
84,5049.98,0.72254,0.50597,1.21259,0.04356,0.96833,0.97319,0.98559,0.83505,0.6482,0.41508,1.23569,0.01775,0.007261,0.007261,0.007261
85,5107.89,0.75244,0.52737,1.23821,0.04843,0.97451,0.97679,0.98598,0.82255,0.67784,0.4238,1.25033,0.02289,0.007228,0.007228,0.007228
86,5165.58,0.75294,0.52861,1.23848,0.04687,0.95956,0.94972,0.98744,0.82461,0.6621,0.41209,1.26833,0.02885,0.007195,0.007195,0.007195
87,5223.82,0.7313,0.50973,1.22344,0.04523,0.97216,0.97602,0.98531,0.84324,0.64182,0.41569,1.27908,0.02306,0.007162,0.007162,0.007162
88,5281.62,0.72987,0.50464,1.21224,0.04658,0.95916,0.9711,0.97919,0.81901,0.69285,0.44451,1.26651,0.02741,0.007129,0.007129,0.007129
89,5339.4,0.72868,0.51954,1.20925,0.04332,0.96182,0.96637,0.98322,0.82903,0.64605,0.43596,1.24933,0.02849,0.007096,0.007096,0.007096
90,5397.29,0.73504,0.51831,1.21834,0.04536,0.95401,0.97325,0.98583,0.83983,0.63254,0.42062,1.27306,0.01978,0.007063,0.007063,0.007063
91,5455.56,0.73993,0.51541,1.22762,0.04637,0.95907,0.97857,0.98479,0.82067,0.66447,0.42685,1.2702,0.02273,0.00703,0.00703,0.00703
92,5513.8,0.7381,0.51099,1.22046,0.04769,0.97782,0.97404,0.98131,0.8321,0.67263,0.42076,1.26617,0.02117,0.006997,0.006997,0.006997
93,5572.13,0.72082,0.50528,1.20578,0.04186,0.96066,0.96939,0.98329,0.83259,0.65865,0.42786,1.26469,0.02603,0.006964,0.006964,0.006964
94,5629.83,0.73624,0.50717,1.22026,0.04433,0.96402,0.97614,0.98407,0.82173,0.67198,0.43498,1.26537,0.02544,0.006931,0.006931,0.006931
95,5687.5,0.71194,0.49461,1.21311,0.04146,0.97248,0.97071,0.98863,0.82702,0.66755,0.4199,1.2911,0.0215,0.006898,0.006898,0.006898
96,5745.56,0.71716,0.50329,1.20896,0.04187,0.9708,0.96497,0.98073,0.82989,0.65408,0.42696,1.23978,0.02361,0.006865,0.006865,0.006865
97,5803.35,0.72465,0.50945,1.22343,0.04307,0.98047,0.97904,0.98817,0.83487,0.6452,0.40975,1.25494,0.02386,0.006832,0.006832,0.006832
98,5861.88,0.69161,0.4868,1.1972,0.03828,0.96773,0.97304,0.98793,0.83496,0.64601,0.41613,1.26836,0.01956,0.006799,0.006799,0.006799
99,5919.4,0.71896,0.51614,1.21694,0.04305,0.94912,0.96611,0.98454,0.81038,0.69678,0.45744,1.31787,0.02179,0.006766,0.006766,0.006766
100,5977.42,0.72214,0.50441,1.21089,0.04007,0.97598,0.96764,0.98774,0.82635,0.64055,0.42786,1.25465,0.01857,0.006733,0.006733,0.006733
101,6035.15,0.71642,0.49806,1.19832,0.04181,0.96705,0.96837,0.98097,0.82559,0.66624,0.42612,1.25917,0.02528,0.0067,0.0067,0.0067
102,6092.82,0.70094,0.48981,1.1925,0.0392,0.97202,0.96862,0.98482,0.83659,0.62561,0.41072,1.24824,0.01932,0.006667,0.006667,0.006667
103,6151.23,0.7079,0.50236,1.2013,0.04206,0.95267,0.96978,0.98391,0.83541,0.6648,0.42027,1.28705,0.0212,0.006634,0.006634,0.006634
104,6209.12,0.71163,0.49958,1.20548,0.04228,0.96295,0.97409,0.98584,0.84088,0.64761,0.40667,1.25391,0.01874,0.006601,0.006601,0.006601
105,6266.98,0.70828,0.50251,1.19527,0.04077,0.96073,0.97698,0.98396,0.82938,0.64677,0.40397,1.25905,0.02053,0.006568,0.006568,0.006568
106,6324.95,0.68958,0.48776,1.18427,0.04012,0.96991,0.97497,0.9804,0.83606,0.63588,0.41195,1.24034,0.01816,0.006535,0.006535,0.006535
