epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
86,4518.97,0.66777,0.47305,1.19329,0.03879,0.97955,0.97942,0.98642,0.84361,0.62252,0.38576,1.20546,0.02116,0.001585,0.001585,0.001585
87,4569.33,0.637,0.44454,1.16698,0.03713,0.97712,0.98318,0.98692,0.8517,0.60932,0.3855,1.20212,0.02252,0.001486,0.001486,0.001486
88,4620.2,0.63889,0.44687,1.17159,0.03391,0.97862,0.97726,0.98976,0.85077,0.60663,0.38474,1.18871,0.02085,0.001387,0.001387,0.001387
89,4670.13,0.64984,0.46237,1.18853,0.03526,0.96159,0.98138,0.98884,0.851,0.61328,0.38957,1.1884,0.02078,0.001288,0.001288,0.001288
90,4719.88,0.64338,0.45332,1.17427,0.03807,0.97859,0.98033,0.99045,0.84848,0.60174,0.38311,1.19454,0.02059,0.001189,0.001189,0.001189
91,4768.69,0.52106,0.36092,1.09463,0.01644,0.97439,0.98152,0.98771,0.85219,0.60592,0.38494,1.18813,0.02056,0.00109,0.00109,0.00109
92,4815.77,0.51337,0.35761,1.09332,0.01573,0.97265,0.98587,0.98687,0.84692,0.59761,0.3744,1.19582,0.02247,0.000991,0.000991,0.000991
93,4863.46,0.49916,0.34478,1.07169,0.01542,0.97548,0.97454,0.98884,0.85254,0.61202,0.37994,1.21523,0.02395,0.000892,0.000892,0.000892
94,4910.43,0.4995,0.34311,1.08501,0.01745,0.97388,0.97992,0.98402,0.84991,0.60457,0.38031,1.18652,0.02115,0.000793,0.000793,0.000793
95,4957.17,0.49615,0.33971,1.07372,0.01652,0.97711,0.98212,0.98835,0.85381,0.6001,0.37016,1.17331,0.02035,0.000694,0.000694,0.000694
96,5004.26,0.49329,0.34142,1.08705,0.01669,0.98434,0.97735,0.98976,0.85361,0.58806,0.37512,1.16518,0.02082,0.000595,0.000595,0.000595
97,5051.12,0.48301,0.33254,1.07666,0.01834,0.97809,0.98354,0.98977,0.8583,0.59366,0.37257,1.17827,0.02073,0.000496,0.000496,0.000496
98,5098.44,0.48687,0.32959,1.06455,0.01787,0.97692,0.98444,0.99015,0.86014,0.5924,0.36718,1.18346,0.02159,0.000397,0.000397,0.000397
99,5146.34,0.47858,0.32738,1.06296,0.0155,0.98354,0.98332,0.98858,0.85657,0.59316,0.37126,1.17887,0.02177,0.000298,0.000298,0.000298
100,5193.16,0.47894,0.33057,1.06707,0.01583,0.98369,0.98033,0.98708,0.85576,0.59111,0.37092,1.17753,0.02195,0.000199,0.000199,0.000199
