epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
63,2341.7,0.80297,0.576,1.32691,0.05344,0.96189,0.96375,0.9886,0.81754,0.69103,0.49999,1.29271,0.02712,0.007954,0.007954,0.007954
64,2377.43,0.78901,0.56895,1.29011,0.05191,0.94485,0.97107,0.98329,0.80673,0.69367,0.4658,1.26663,0.03169,0.007921,0.007921,0.007921
65,2412.86,0.76608,0.54301,1.27583,0.05095,0.94866,0.96728,0.98356,0.80834,0.71527,0.48157,1.28692,0.03002,0.007888,0.007888,0.007888
66,2448.34,0.77562,0.54618,1.25877,0.04509,0.96076,0.9754,0.98778,0.82513,0.69174,0.45909,1.25765,0.03624,0.007855,0.007855,0.007855
67,2484.3,0.78443,0.57185,1.29256,0.05086,0.96285,0.96702,0.98009,0.80137,0.68609,0.47358,1.28365,0.02383,0.007822,0.007822,0.007822
68,2519.84,0.75823,0.5416,1.28856,0.05415,0.97243,0.96205,0.98419,0.81272,0.696,0.46375,1.28504,0.02634,0.007789,0.007789,0.007789
69,2555.67,0.76919,0.54444,1.2737,0.05044,0.9626,0.97556,0.9877,0.81448,0.69871,0.46708,1.28929,0.02539,0.007756,0.007756,0.007756
70,2590.76,0.76122,0.54955,1.27836,0.04703,0.97742,0.96797,0.98512,0.81681,0.68585,0.446,1.26796,0.02516,0.007723,0.007723,0.007723
71,2626.06,0.74827,0.52267,1.25238,0.04587,0.89022,0.94132,0.97777,0.80991,0.69111,0.54977,1.26806,0.0354,0.00769,0.00769,0.00769
72,2661.55,0.7696,0.54833,1.29098,0.04913,0.96542,0.96981,0.98522,0.81536,0.69087,0.4585,1.28718,0.02736,0.007657,0.007657,0.007657
73,2696.73,0.7728,0.54776,1.2669,0.04723,0.97446,0.97182,0.98918,0.81225,0.68863,0.43328,1.2924,0.0264,0.007624,0.007624,0.007624
74,2732.53,0.75857,0.52661,1.27706,0.04732,0.97838,0.97854,0.98521,0.82648,0.66627,0.43552,1.27877,0.0245,0.007591,0.007591,0.007591
